"My Tickets","My Tickets"
"Support Ticket","Support Ticket"
Subject,Subject
Requested,Requested
Updated,Updated
Status,Status
Action,Action
View,View
"You don't have any tickets","You don't have any tickets"
"Ticket History","Ticket History"
Message,Message
Send,Send
"Open Ticket","Open Ticket"
"New Ticket"."New Ticket"
